Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,Entry_Signal,Exit_Signal,Position,Equity
2026-04-22,709.3825,709.6219,706.4001,707.3278,42518500,673.2266,673.4929,70.7281,0,0,0,110261.5179
2026-04-23,706.6296,710.5295,700.4754,707.6769,56174000,675.8015,673.8563,68.0811,0,0,0,110261.5179
2026-04-24,712.1055,712.6341,707.1881,708.9237,45182000,679.2351,674.3323,70.4501,1,0,1,110096.3183
2026-04-27,713.3323,713.7911,710.4697,711.3374,33135900,683.2787,675.0456,70.9699,0,0,1,110285.9909
2026-04-28,709.8612,711.0482,707.4275,709.9909,43117400,687.2545,675.6799,67.3593,0,0,1,109749.3401
2026-04-29,709.7515,710.3699,706.5498,709.173,41859200,690.3086,676.2901,67.2429,0,0,1,109732.3829
2026-04-30,716.8133,717.9404,708.6244,712.7937,67240900,693.4715,676.9731,70.7482,0,0,1,110824.1798
2026-05-01,718.7982,723.0073,718.6186,719.3967,43049800,696.7041,677.7319,71.666,0,0,1,111131.0626
2026-05-04,716.165,720.2644,713.1527,718.2197,51950600,699.6505,678.3395,68.5914,0,0,1,110723.9459
2026-05-05,721.9102,723.1769,719.636,719.9154,36933200,702.8697,679.202,71.4676,0,0,1,111612.1987
2026-05-06,731.9443,732.7024,725.9498,726.2889,53288900,705.7533,680.1666,75.6598,0,0,1,113163.5413
2026-05-07,729.7001,734.2384,727.8748,733.1612,51724600,708.3302,680.9709,73.0738,0,0,1,112816.5725
2026-05-08,735.7246,736.1834,732.6825,733.0415,47227100,711.2307,681.9722,75.4952,0,0,1,113747.9971
2026-05-11,737.4003,738.8864,734.5576,734.5576,44024000,713.8839,683.073,76.1379,0,0,1,114007.0653
2026-05-12,736.2831,736.9415,729.9495,734.9965,54185300,716.0643,684.1436,74.7306,0,0,1,113834.35
2026-05-13,740.4025,741.9984,733.5801,736.5724,44200200,718.1773,685.417,76.4586,0,0,1,114471.2348
2026-05-14,746.2475,747.604,741.6494,741.7392,45307600,720.4968,686.7117,78.6858,0,0,1,115374.9067
2026-05-15,737.2706,741.5496,736.0638,739.8839,60410800,721.9446,687.903,68.0392,0,0,1,113987.0223
2026-05-18,736.752,739.5148,731.5055,737.9289,47843900,723.4373,689.2615,67.4712,0,0,1,113906.8314
2026-05-19,731.8446,735.7546,729.6503,732.892,54255900,724.9159,690.4047,62.1816,0,0,1,113148.1221
2026-05-20,739.3453,739.9637,732.0042,733.8195,45768000,726.4141,691.7196,66.5041,0,0,1,114307.7766
2026-05-21,740.8115,742.956,735.1361,736.742,43332200,728.1232,693.0807,67.2911,0,0,1,114534.459
2026-05-22,743.724,747.0155,742.5669,744.3224,41762000,729.7041,694.7044,68.8564,0,0,1,114984.7568
2026-05-26,748.6613,750.1973,746.447,748.0828,41123600,731.4706,696.5019,71.3588,0,0,1,115748.0994
